"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","1","tests","test_api","","","","test_api_translates_exception",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","10","tests","test_api","","","","test_api_extract_conda_v2_explicit_path",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","0","tests","test_api","","","","test_details_bad_extension",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","0","tests","test_api","","","","test_api_bad_filename",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","30","tests","test_api","","","","test_api_extract_tarball_explicit_path",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","34","tests","test_api","","","","test_api_transmute_fail_validation_to_conda",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","0","tests","test_utils","","","","test_rename_to_trash[30]",""
"skipped","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","0","tests","test_api","","","","test_correct_version","
    Prevent accidentally running tests against a globally installed different version.
    "
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","29","tests","test_api","","","","test_api_extract_tarball_with_libarchive_import_error",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","10","tests","test_api","","","","test_api_extract_conda_v2_implicit_path",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","18","tests","test_api","","","","test_api_extract_conda_v2_explicit_path_prefix",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","2","tests","test_api","","","","test_convert_keyerror",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","1","tests","test_degraded","","","","test_degraded",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","65","tests","test_api","","","","test_api_transmute_tarball_to_conda_v2",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","72","tests","test_api","","","","test_api_transmute_fail_validation_2",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","1","tests","test_api","","","","tests_secure_refusal_to_extract_dotdot",""
"skipped","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","1","tests","test_api","","","","test_secure_refusal_to_extract_abs_paths",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","1","tests","test_utils","","","","test_rename_to_trash[2]",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","30","tests","test_api","","","","test_api_extract_tarball_implicit_path",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","0","tests","test_api","","","","test_convert_bad_extension",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","2","tests","test_api","","","","test_api_conda_v2_details",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","10","tests","test_api","","","","test_api_extract_conda_v2_no_destdir_relative_path",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","1","tests","test_utils","","","","test_rename_to_trash[1]",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","1","tests","test_utils","","","","test_rename_to_trash[13]",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","0","tests","test_api","","","","test_warning_when_bundling_no_metadata",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","71","tests","test_api","","","","test_api_transmute_fail_validation",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","1","tests","test_utils","","","","test_delete_trash",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","322","tests","test_api","","","","test_api_transmute_tarball_info_sorts_first",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","2","tests","test_api","","","","test_api_extract_info_conda_v2",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","17","tests","test_api","","","","test_api_transmute_to_conda_v2_contents",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","3","tests","test_api","","","","test_create_filelist",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","84","tests","test_cli","","","","test_cli","
    Code coverage for the cli.
    "
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","2","tests","test_cli","","","","test_import_main","
    e.g. python -m conda_package_handling
    "
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","415","tests","test_interface","","","","test_extract_create",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","0","tests","test_api","","","","test_api_extract_dest_dir_and_prefix_both_abs_raises",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","6","tests","test_api","","","","test_create_package_with_uncommon_conditions_captures_all_content",""
"passed","Tue Nov 08 00:04:56 UTC 2022","Tue Nov 08 00:04:56 UTC 2022","2","tests","test_api","","","","test_api_tarball_details",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","106","tests","test_api","","","","test_api_transmute_conda_v2_to_tarball",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","0","tests","test_utils","","","","test_rm_rf_file",""
"passed","Tue Nov 08 00:04:58 UTC 2022","Tue Nov 08 00:04:58 UTC 2022","61","tests","test_validate","","","","test_validate_streaming",""
"passed","Tue Nov 08 00:04:57 UTC 2022","Tue Nov 08 00:04:57 UTC 2022","72","tests","test_degraded","","","","test_degraded_subprocess","
    More reliable way to mock 'zstandard not available'
    "
